Time,Date,Attack Name,Attacking Country,Target Country,Attack Type
2:23:18 AM,5 Oct 2019,Exploit.CVE-2010-2568.Gen,Brazil,,INFECTION
4:44:08 AM,5 Oct 2019,Gen:Variant.Ursu.42773,United States,,INFECTION
2:59:43 AM,5 Oct 2019,"setup.exe:0000F001,00008006,00008050,00007002,00009903",Canada,,INFECTION
2:57:53 AM,5 Oct 2019,Adware.Agent.TVO,United States,,INFECTION
4:32:06 AM,5 Oct 2019,Trojan.GenericKD.32421022,Mexico,,INFECTION
2:55:34 AM,5 Oct 2019,Exploit.CVE-2010-2568.Gen,Brazil,,INFECTION
2:26:10 AM,5 Oct 2019,Gen:Variant.Application.Bundler.ExpressInstaller.3,United States,,INFECTION
2:26:10 AM,5 Oct 2019,Trojan.SpamMalware-ZIP.Gen,Canada,,INFECTION
4:10:25 AM,5 Oct 2019,Trojan.VBS.Downloader.AEJ,United States,,INFECTION
2:42:15 AM,5 Oct 2019,Trojan.Lnk.RP,Mexico,,INFECTION
4:30:10 AM,5 Oct 2019,Trojan.AgentWDCR.HWR,Canada,,INFECTION
2:38:50 AM,5 Oct 2019,Gen:Variant.Application.Bundler.DealPly.765,Brazil,,INFECTION
3:21:24 AM,5 Oct 2019,"esif_assist_64.exe:0000F001,00008050,00008011,00007002,00009903",France,,INFECTION
2:21:48 AM,5 Oct 2019,Adware.DealPly.1.Gen,United States,,INFECTION
1:55:51 AM,5 Oct 2019,Trojan.Acad.Bursted.AK,Greece,,INFECTION
3:45:04 AM,5 Oct 2019,Trojan.VBS.Downloader.AEJ,United States,,INFECTION
4:18:24 AM,5 Oct 2019,Adware.DealPly.1.Gen,Mexico,,INFECTION
2:47:51 AM,5 Oct 2019,Trojan.Script.669350,Canada,,INFECTION
4:15:35 AM,5 Oct 2019,Gen:Variant.Ulise.38868,United States,,INFECTION
3:50:33 AM,5 Oct 2019,Gen:Trojan.Heur2.LPTMGW@bKnqW8nab,United States,,INFECTION
2:29:47 AM,5 Oct 2019,Win32.Worm.DownadupJob.A,Brazil,,INFECTION
2:20:23 AM,5 Oct 2019,Adware.DealPly.1.Gen,United States,,INFECTION
2:22:32 AM,5 Oct 2019,Adware.BrowseFox.BJ,United States,,INFECTION
3:28:38 AM,5 Oct 2019,Trojan.LNK.Gen,Peru,,INFECTION
3:46:49 AM,5 Oct 2019,Trojan.Lnk.Runner.A,Peru,,INFECTION
4:39:08 AM,5 Oct 2019,"danfememo.exe:0000F001,00008050,0000D007",Brazil,,INFECTION
3:48:35 AM,5 Oct 2019,Gen:Variant.Application.Bundler.InstallRex.2,United States,,INFECTION
3:25:44 AM,5 Oct 2019,Adware.RelevantKnowledge.DI,United States,,INFECTION
3:38:57 AM,5 Oct 2019,Adware.PullUpdate.CN,France,,INFECTION
2:49:09 AM,5 Oct 2019,Gen:Variant.Symmi.91103,Mexico,,INFECTION
3:26:24 AM,5 Oct 2019,Gen:Trojan.Heur2.LPTMGW@bKnqW8nab,United States,,INFECTION
1:53:56 AM,5 Oct 2019,"BSvcProcessor.exe:0000F001,00008050,00007017,0000D007",Canada,,INFECTION
3:51:32 AM,5 Oct 2019,Application.Hacktool.KMSActivator.AV,Mexico,,INFECTION
4:13:30 AM,5 Oct 2019,"ServiceInstaller.exe:0000F001,00008006,00008050,00007002,00009903",Canada,,INFECTION
3:14:48 AM,5 Oct 2019,Application.Agent.BMB,United States,,INFECTION
2:51:06 AM,5 Oct 2019,Trojan.Agent.DZCD,United States,,INFECTION
3:56:20 AM,5 Oct 2019,Adware.DealPly.1.Gen,United States,,INFECTION
3:20:57 AM,5 Oct 2019,"GoogleCrashHandler.exe:0000F001,00008050,0000D007",United States,,INFECTION
